ENODEB_NAME,Latitude,Longitude
RAN_Golela_MTN_KZN,-27.3176111111111,31.8897777777778
RAN_Ferrum_High_Schl_Atlas_KZN,-27.734796,29.947911
RAN_Marine_Dr_North_KZN,-29.9006472222222,31.0381
LTE_Little_Swtzerland_DN_KZN,-28.5797777777778,29.05125
LTE_Ezakheni_WT_DN_KZN,-28.5955,29.9268055555556
RAN_Spillers_Wharf_KZN,-30.7297222222222,30.4516666666667
LTE_Kromhoek_2_DN_KZN,-30.357834,29.988901
LTE_Malizwayo_DN_KZN,-30.0505277777778,30.47525
RAN_Mount_West_MTN_KZN,-29.2450833333333,30.12275
RAN_Montclair_North_MTN_KZN,-29.9153222222222,30.9556527777778
LTE_Oakbrook_MTN_DN_KZN,-29.3645277777778,29.9754722222222
RAN_Spioenkop_Lodge_KZN,-28.69675,29.5384444444444
LTE_Kamberg_Valley_DN_KZN,-29.2948611111111,29.7126944444444
LTE_Steadville_Atlas_DN_KZN,-28.571881,29.832492
LTE_Newcastle_Prvt_Hp_DN_KZN,-27.7680555555556,29.9313888888889
LTE_Fikesuthi_Mt_DN_KZN,-29.8134166666667,29.9117777777778
LTE_Kenterton_DN_KZN,-30.255,30.395
LTE_Cophela_MTN_DN_KZN,-30.6450805555556,30.4218722222222
LTE_Mswilili_DN_KZN,-30.5405277777778,30.4057777777778
RAN_KwaLulwane_KZN,-27.0443888888889,32.28875
LTE_Mialazi_MTN_DN_KZN,-28.848749,31.4928054
RAN_Itshodo_MTN_KZN,-28.0211666666667,31.5656944444444
RAN_Dawn_Park_ATC_KZN,-29.783599,30.975001
RAN_Peter_Rd_ATC_KZN,-29.7997222222222,30.9880555555556
RAN_Southgate_ATC_KZN,-29.7327777777778,31.0275
RAN_Riverside_ATC_KZN,-29.8015,31.02175
RAN_Valdin_Heights_ATC_KZN,-29.6555555555556,31.055
RAN_Pongola_Town_ATC_KZN,-27.3796944444444,31.6283333333333
LTE_RBM_Hub_MTN_DN_KZN,-28.714631,32.183139
RAN_20Dr_GordonRd_KZN,-29.0737222222222,30.5981944444444
RAN_Thulani_Farm_MTN_KZN,-29.4995,31.1898333333333
RAN_Bozas_Cottage_MTN_KZN,-28.75923,31.88868
RAN_Stanger_Transtel_KZN,-29.3423611111111,31.2958888888889
RAN_Ngedle_KZN,-27.3835833333333,31.5734444444444
LTE_Mboza_DN_KZN,-27.180084,32.2704734
RAN_Vimbisikhale_KZN,-27.935556,31.6661109
LTE_Kwajobe_DN_KZN,-27.541027,32.3099708
LTE_Madonela_DN_KZN,-27.342472,32.2633895
RAN_Nenge_KZN,-27.886667,31.545
